COD_PAIS;NUM_MED_VALIDAS;NUM_MED_AUSENTES;MEDIA;MINIMO;MAXIMO;MEDIANA;DESVIO_PADRAO;VARIANCIA
ARG;47;7;4169.426278666667;0.0;6195.384942;4738.5733685;1718.675694767234;2953846.1437836345
BOL;54;0;980.2304190111112;799.9500865;1323.124571;963.6952071000001;117.34226623852449;13769.207445992764
BRA;54;0;3791.851543462963;1726.566347;5823.043784;3996.243028;1142.2027778753743;1304627.1857862219
CHL;54;0;4737.001266259259;2479.185118;9728.481224;3498.7351585;2236.816806577782;5003349.426188827
COL;54;0;2654.812011648148;1452.070326;4394.066614;2594.982776;787.0636104361795;619469.1268728342
ECU;54;0;2511.1241080740742;1572.4319;3700.526148;2629.246711;551.1265175289818;303740.4383236231
GUY;54;0;913.7972339814814;658.9762801;1336.3414;887.47802535;168.06915657435925;28247.24139161649
PRY;54;0;1229.3033038092592;569.5127394;1929.09484;1372.977508;392.8626473670145;154341.0596962192
PER;54;0;2495.336615037037;1855.983158;4109.596136;2365.303708;501.2210956813229;251222.5867559858
SUR;39;15;2530.2346804814815;0.0;4568.685095;3097.075667;1646.737665578334;2711744.939234381
URY;54;0;4323.779943259259;3021.774573;7808.626662;3967.1212990000004;1228.1188069556426;1508275.8039981509
VEN;54;0;6008.967337;4322.636853;7138.186093;5974.962032;647.4544832830736;419197.3079233518
